So.,1955-10-09 00:00:00,Unnamed: 2,Unnamed: 3,3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12,13,Unnamed: 15,Unnamed: 16,16,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
So.,1955-10-16,,,3.0,,,,,,,,,12.0,,,,,,18.0,,,,,,,,,,,,30.0,,32.0,,,,,,,,,,,,,,,,,49.0,,
So.,1955-10-23,,,,,,,,,,,,12.0,,14.0,,,,,,,,,23,24.0,,,,,,,,,,34.0,,36.0,,,,,,,,,,,,,,,
So.,1955-10-30,,,,4.0,,,,,,,,,13.0,,,,,,,,,,23,,,,,,,30.0,,,,,,36.0,,,,,,,,44.0,,,,,,,
So.,1955-11-06,,,,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,39.0,,,,,44.0,,,,,49.0,,
So.,1955-11-13,,,,,,6.0,,,,,,,,,,,,18.0,,,,22.0,,,,,,,29.0,,,,,,,,37.0,,,,,,,44.0,,,,,,,
So.,1955-11-20,,,,4.0,,,,8.0,,,,12.0,,,,16.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,44.0,,,,,,,
So.,1955-11-27,,,,,,,,,9.0,,,,,,,,,,,,,,,24.0,,26.0,,,,,,,,,,,37.0,,,,,,,44.0,,46.0,,,,,
So.,1955-12-04,,,,,5.0,,,,,,,,,,,,,,,20.0,21.0,,,,,26.0,,,,,31.0,,,,,,,,,,,,,,,,47.0,,,,
So.,1955-12-11,,,,,,,,8.0,,10.0,,,,,,,,,,,,22.0,,,,26.0,,,,,31.0,,,,,,37.0,,,,,,,,,,,,,,
So.,1955-12-18,,,,,,,,8.0,,,,,,14.0,,,,,,,,,,,,26.0,,,,,,,,,,36.0,,,39.0,,,42.0,,,,,,,,,
Mo.,1955-12-26,,,,,5.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,38.0,39.0,,,42.0,,,,,,,,,
So.,1956-01-01,,,,4.0,,,,,,,,,,,,,,,,,,22.0,,,,,27.0,,,,,,,,,36.0,,38.0,,,,,,,,46.0,,,,,
So.,1956-01-08,,,,,,6.0,,,,,,,,,,,,,,,21.0,22.0,,,,,,,,,,,,,,,37.0,,,,41.0,42.0,,,,,,,,,
So.,1956-01-15,1.0,,,,,,,,9.0,,,,,,,16.0,,,19.0,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,49.0,,
So.,1956-01-22,,,,,,,,,,,,12.0,,,,,17.0,,,,,,23,,,,27.0,,,,,,,,35.0,,,,,40.0,,,,,,,,,,,
So.,1956-01-29,,,,,5.0,6.0,,,,,,,,,,,,18.0,,,,22.0,,,,,,,,,,,,,,,,38.0,,,,,43.0,,,,,,,,
So.,1956-02-05,,,,,,,,,,,,12.0,,,,,,,,,,,,,,26.0,,,,,,,,,35.0,36.0,,,,,,42.0,43.0,,,,,,,,
So.,1956-02-12,1.0,,,,,,,,,,,,,14.0,,,,,,,,,23,,,,27.0,,,30.0,,,33.0,,,,,,,,,,,,,,,,,,
So.,1956-02-19,,,,,,,,8.0,,,,,,,,,,,,20.0,,,,,,26.0,,,,,,,,,35.0,,,38.0,,,,42.0,,,,,,,,,
So.,1956-02-26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,32.0,,,,,,,,,,42.0,,,45.0,,,48.0,,,
So.,1956-03-04,,,,4.0,,6.0,,,,,,,,,,,17.0,,19.0,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,47.0,,,,
So.,1956-03-11,,,,,,6.0,,,9.0,,,,,,,,,,,20.0,,22.0,,,,26.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,
So.,1956-03-18,,,3.0,,,,,,,10.0,,,,,,,,,,,,,,24.0,,26.0,,,,,,,,,,,,38.0,,,,,,,,,,,49.0,,
So.,1956-03-25,,,3.0,,,,,,,,,,,,,16.0,,18.0,19.0,,,,,,,,,,,,,,,,,,37.0,,,,,42.0,,,,,,,,,
Mo.,1956-04-02,,,,,,,7.0,,,10.0,,,,,,,,,,,,22.0,,,25.0,,,,,,,32.0,,,,,,,,,,,43.0,,,,,,,,
